sample_idx,data_model,fit_model,nll,bic,aic,n_params_fit,n_trials,fit_success,rmsse,true_Loss Aversion,est_Loss Aversion,err_Loss Aversion,true_Perception Shape,est_Perception Shape,err_Perception Shape,true_Learning Rate,est_Learning Rate,err_Learning Rate,true_Forgetting Fact,est_Forgetting Fact,err_Forgetting Fact,true_Exploration Weight,est_Exploration Weight,err_Exploration Weight,true_A (Shape),est_A (Shape),err_A (Shape),true_w (Loss Aversion),est_w (Loss Aversion),err_w (Loss Aversion),true_a (Learning Rate),est_a (Learning Rate),err_a (Learning Rate),true_c (Consistency),est_c (Consistency),err_c (Consistency),true_A_rew,est_A_rew,err_A_rew,true_A_pun,est_A_pun,err_A_pun,true_K',est_K',err_K',true_beta_F,est_beta_F,err_beta_F,true_beta_P,est_beta_P,err_beta_P
0,Agent,Agent,9.150265048989562,41.32638102791958,28.300530097979124,5,100,True,0.07626909260860215,4.419129471894051,3.6836587339569142,-0.14738892543830392,0.734414471077587,0.7234493818549999,-0.011188866553660306,0.3749783162236299,0.44857095361464716,0.07509452795001759,0.2900414483288046,0.3096030974303327,0.039921732860261495,5.7011001813398865,5.665043421541159,-0.0018037398598663012,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Agent,PVLDeltaAgent,26.198836505261227,70.81835375447483,60.39767301052245,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Agent,ORLAgent,31.270405219867197,85.56666136967485,72.5408104397344,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Agent,Agent,8.784543290033136,40.59493751000673,27.569086580066273,5,100,True,0.07168454432234467,4.419129471894051,4.931784604571486,0.10273649953455609,0.734414471077587,0.7311079226087969,-0.0033740290497857985,0.3749783162236299,0.3862990021993147,0.011551720383351788,0.2900414483288046,0.23478640424682312,-0.11276539608567644,5.7011001813398865,6.6551322805602595,0.04772546769486609,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Agent,PVLDeltaAgent,34.63577994989684,87.69224064374606,77.27155989979369,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Agent,ORLAgent,43.394518994732685,109.81488891940583,96.78903798946537,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Agent,Agent,7.953637298318996,38.93312552657845,25.90727459663799,5,100,True,0.05942811280242966,4.419129471894051,5.0,0.11640691946011006,0.734414471077587,0.7708016208318226,0.03712974464717921,0.3749783162236299,0.3489593531876418,-0.02654996228162052,0.2900414483288046,0.28673927524874016,-0.006739128734825345,5.7011001813398865,6.5903738769491484,0.04448592774433527,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Agent,PVLDeltaAgent,33.13683766024485,84.69435606444208,74.2736753204897,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Agent,ORLAgent,41.542053167521885,106.10995726498423,93.08410633504377,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Agent,Agent,5.541327275322692,34.10850548058585,21.082654550645383,5,100,True,0.10537976341288391,1.956708222326663,1.8498780972600821,-0.021408842698713595,0.8049704154602473,0.8423657936820925,0.03815854920596454,0.684603455745123,0.7218214074555587,0.03797750174534248,0.4110617105503389,0.3144879613933037,-0.1970892839939494,9.432317913417695,11.73972013285389,0.11542782488425189,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Agent,PVLDeltaAgent,37.961159812261286,94.34300036847495,83.92231962452257,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Agent,ORLAgent,46.379659958282446,115.78517084650535,102.75931991656489,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
